"index","value"
1981 Jan,67745
1981 Feb,68478
1981 Mar,85521
1981 Apr,105884
1981 May,110425
1981 Jun,91370
1981 Jul,93281
1981 Aug,103857
1981 Sep,95866
1981 Oct,NA
1981 Nov,NA
1981 Dec,NA
1982 Jan,NA
1982 Feb,71581
1982 Mar,99026
1982 Apr,106283
1982 May,106818
1982 Jun,96854
1982 Jul,96566
1982 Aug,104960
1982 Sep,90243
1982 Oct,120334
1982 Nov,92761
1982 Dec,77263
1983 Jan,76069
1983 Feb,82116
1983 Mar,94332
1983 Apr,110266
1983 May,112060
1983 Jun,100368
1983 Jul,110247
1983 Aug,111372
1983 Sep,108922
1983 Oct,118860
1983 Nov,93737
1983 Dec,76202
1984 Jan,81449
1984 Feb,82345
1984 Mar,99650
1984 Apr,123899
1984 May,117099
1984 Jun,112879
1984 Jul,108754
1984 Aug,120934
1984 Sep,120313
1984 Oct,131303
1984 Nov,111482
1984 Dec,87211
1985 Jan,87606
1985 Feb,89896
1985 Mar,114208
1985 Apr,132524
1985 May,133871
1985 Jun,124336
1985 Jul,120385
1985 Aug,137427
1985 Sep,128309
1985 Oct,135857
1985 Nov,123102
1985 Dec,98523
1986 Jan,93762
1986 Feb,101399
1986 Mar,135607
1986 Apr,141196
1986 May,146104
1986 Jun,140768
1986 Jul,143315
1986 Aug,162399
1986 Sep,145856
1986 Oct,182229
1986 Nov,147942
1986 Dec,119395
1987 Jan,120216
1987 Feb,117265
1987 Mar,154829
1987 Apr,163274
1987 May,174367
1987 Jun,166206
1987 Jul,161157
1987 Aug,180701
1987 Sep,165037
1987 Oct,181308
1987 Nov,161056
1987 Dec,129085
1988 Jan,126211
1988 Feb,137234
1988 Mar,173089
1988 Apr,182152
1988 May,185396
1988 Jun,207756
1988 Jul,211383
1988 Aug,216431
1988 Sep,237188
1988 Oct,247602
1988 Nov,226748
1988 Dec,189272
1989 Jan,175910
1989 Feb,181037
1989 Mar,223559
1989 Apr,227976
1989 May,255694
1989 Jun,244475
1989 Jul,233846
1989 Aug,243512
1989 Sep,246940
1989 Oct,266560
1989 Nov,230075
1989 Dec,198470
1990 Jan,191369
1990 Feb,199317
1990 Mar,242416
1990 Apr,253425
1990 May,250325
1990 Jun,259479
1990 Jul,253404
1990 Aug,266182
1990 Sep,268694
1990 Oct,284549
1990 Nov,260198
1990 Dec,229481
1991 Jan,202797
1991 Feb,239174
1991 Mar,238993
1991 Apr,255745
1991 May,277575
1991 Jun,272068
1991 Jul,262671
1991 Aug,293781
1991 Sep,276797
1991 Oct,315219
1991 Nov,290153
1991 Dec,271367
1992 Jan,232561
1992 Feb,265813
1992 Mar,278670
1992 Apr,273036
1992 May,280657
1992 Jun,281524
1992 Jul,272967
1992 Aug,313671
1992 Sep,253522
1992 Oct,285057
1992 Nov,256798
1992 Dec,236805
