line,month,total
1,1,1150
4,1,382
1,1,4776
4,1,1307
1,1,4038
4,1,1283
1,1,4004
4,1,1312
1,1,3911
4,1,1255
1,1,1792
4,1,485
1,1,1154
4,1,388
1,1,4748
4,1,1292
1,1,4036
4,1,1235
1,1,3952
4,1,1243
1,1,4050
4,1,1230
1,1,3861
4,1,1147
1,1,2082
4,1,556
1,1,1264
4,1,391
1,1,4860
4,1,1260
1,1,4206
4,1,1261
1,1,4288
4,1,1322
1,1,4229
4,1,1270
1,1,4006
4,1,1184
1,1,2108
4,1,574
1,1,1180
4,1,396
1,1,4753
4,1,1261
1,1,4135
4,1,1232
1,1,3950
4,1,1196
1,1,4047
4,1,1218
1,1,3764
4,1,1159
1,1,1882
4,1,462
1,1,1103
4,1,396
1,1,4612
4,1,1319
1,1,4005
4,1,1225
1,1,4067
4,1,1254
1,2,4071
4,2,1269
1,2,3898
4,2,1303
1,2,1889
4,2,562
1,2,1169
4,2,418
1,2,4706
4,2,1265
1,2,4068
4,2,1278
1,2,4100
4,2,1235
1,2,4091
4,2,1223
1,2,4070
4,2,1245
1,2,1864
4,2,542
1,2,1190
4,2,430
1,2,4462
4,2,1273
1,2,3956
4,2,1169
1,2,3555
4,2,1109
1,2,1144
4,2,302
1,2,1719
4,2,349
1,2,1634
4,2,258
1,2,1844
4,2,318
1,2,5142
4,2,1226
1,2,4541
4,2,1235
1,2,4435
4,2,1260
1,2,4511
4,2,1228
1,2,4432
4,2,1264
1,2,2440
4,2,553
1,2,1377
4,2,416
1,2,4972
4,2,1303
1,2,4163
4,2,1256
1,2,4219
4,2,1274
